"Date","Time","WBGT","Tg"
"2020/10/1","1:00","16.0","16.4"
"2020/10/1","2:00","16.0","16.6"
"2020/10/1","3:00","16.0","16.5"
"2020/10/1","4:00","15.8","15.9"
"2020/10/1","5:00","15.8","16.3"
"2020/10/1","6:00","15.9","16.3"
"2020/10/1","7:00","16.0","17.2"
"2020/10/1","8:00","15.9","19.0"
"2020/10/1","9:00","16.2","19.4"
"2020/10/1","10:00","16.8","22.6"
"2020/10/1","11:00","17.4","22.3"
"2020/10/1","12:00","17.3","22.5"
"2020/10/1","13:00","18.1","23.1"
"2020/10/1","14:00","17.8","22.1"
"2020/10/1","15:00","18.2","22.5"
"2020/10/1","16:00","18.8","24.5"
"2020/10/1","17:00","17.4","18.4"
"2020/10/1","18:00","16.8","16.9"
"2020/10/1","19:00","16.2","15.3"
"2020/10/1","20:00","16.7","16.3"
"2020/10/1","21:00","15.8","14.4"
"2020/10/1","22:00","15.6","14.4"
"2020/10/1","23:00","15.0","14.0"
"2020/10/1","24:00","15.0","13.6"
"2020/10/2","1:00","14.5","13.4"
"2020/10/2","2:00","14.4","13.5"
"2020/10/2","3:00","14.4","12.9"
"2020/10/2","4:00","14.2","13.6"
"2020/10/2","5:00","14.5","13.9"
"2020/10/2","6:00","14.1","13.9"
"2020/10/2","7:00","15.3","18.5"
"2020/10/2","8:00","18.4","29.8"
"2020/10/2","9:00","21.2","37.4"
"2020/10/2","10:00","19.7","29.2"
"2020/10/2","11:00","19.9","29.2"
"2020/10/2","12:00","21.3","34.5"
"2020/10/2","13:00","21.9","37.7"
"2020/10/2","14:00","22.4","39.2"
"2020/10/2","15:00","21.2","33.5"
"2020/10/2","16:00","20.0","27.9"
"2020/10/2","17:00","18.2","19.5"
"2020/10/2","18:00","17.7","18.3"
"2020/10/2","19:00","17.7","17.8"
"2020/10/2","20:00","17.2","17.2"
"2020/10/2","21:00","16.9","16.3"
"2020/10/2","22:00","16.8","16.1"
"2020/10/2","23:00","16.6","16.4"
"2020/10/2","24:00","17.1","17.6"
"2020/10/3","1:00","17.0","16.9"
"2020/10/3","2:00","16.5","15.4"
"2020/10/3","3:00","16.4","15.5"
"2020/10/3","4:00","16.3","15.2"
"2020/10/3","5:00","16.3","15.8"
"2020/10/3","6:00","16.4","16.5"
"2020/10/3","7:00","17.4","21.6"
"2020/10/3","8:00","18.3","25.3"
"2020/10/3","9:00","19.6","27.4"
"2020/10/3","10:00","19.9","26.3"
"2020/10/3","11:00","19.7","26.1"
"2020/10/3","12:00","20.2","28.8"
"2020/10/3","13:00","19.7","25.3"
"2020/10/3","14:00","19.3","22.1"
"2020/10/3","15:00","20.3","25.3"
"2020/10/3","16:00","19.6","22.6"
"2020/10/3","17:00","18.8","19.9"
"2020/10/3","18:00","18.5","18.7"
"2020/10/3","19:00","18.4","18.6"
"2020/10/3","20:00","18.1","17.0"
"2020/10/3","21:00","17.7","16.7"
"2020/10/3","22:00","17.7","16.8"
"2020/10/3","23:00","16.9","16.0"
"2020/10/3","24:00","16.7","15.8"
"2020/10/4","1:00","16.3","15.5"
"2020/10/4","2:00","16.0","15.3"
"2020/10/4","3:00","15.8","15.4"
"2020/10/4","4:00","15.6","15.2"
"2020/10/4","5:00","15.8","15.4"
"2020/10/4","6:00","15.8","15.6"
"2020/10/4","7:00","16.7","19.1"
"2020/10/4","8:00","17.2","20.1"
"2020/10/4","9:00","19.0","26.5"
"2020/10/4","10:00","19.9","28.2"
"2020/10/4","11:00","20.3","28.7"
"2020/10/4","12:00","21.2","30.7"
"2020/10/4","13:00","21.0","28.6"
"2020/10/4","14:00","21.6","31.4"
"2020/10/4","15:00","21.3","29.3"
"2020/10/4","16:00","20.4","25.8"
"2020/10/4","17:00","19.0","19.8"
"2020/10/4","18:00","18.7","18.7"
"2020/10/4","19:00","18.5","18.0"
