"Date","Time","WBGT","Tg"
"2020/9/1","1:00","22.2","22.1"
"2020/9/1","2:00","22.0","22.2"
"2020/9/1","3:00","21.5","21.9"
"2020/9/1","4:00","21.6","22.1"
"2020/9/1","5:00","21.6","22.2"
"2020/9/1","6:00","21.6","22.8"
"2020/9/1","7:00","22.5","25.5"
"2020/9/1","8:00","23.2","27.4"
"2020/9/1","9:00","24.3","32.4"
"2020/9/1","10:00","25.8","36.6"
"2020/9/1","11:00","25.6","34.8"
"2020/9/1","12:00",,
"2020/9/1","13:00",,
"2020/9/1","14:00",,
"2020/9/1","15:00",,
"2020/9/1","16:00",,
"2020/9/1","17:00",,
"2020/9/1","18:00",,
"2020/9/1","19:00",,
"2020/9/1","20:00",,
"2020/9/1","21:00",,
"2020/9/1","22:00",,
"2020/9/1","23:00",,
"2020/9/1","24:00",,
