"Date","Time","WBGT","Tg"
"2020/9/1","1:00","26.2","27.6"
"2020/9/1","2:00","26.3","27.7"
"2020/9/1","3:00","25.8","26.9"
"2020/9/1","4:00","25.7","27.4"
"2020/9/1","5:00","25.4","26.6"
"2020/9/1","6:00","25.6","27.3"
"2020/9/1","7:00","26.7","33.5"
"2020/9/1","8:00","28.6","39.0"
"2020/9/1","9:00","29.0","39.9"
"2020/9/1","10:00","29.5","43.9"
"2020/9/1","11:00","26.0","26.3"
"2020/9/1","12:00","26.6","28.0"
"2020/9/1","13:00","28.9","35.7"
"2020/9/1","14:00","28.0","34.7"
"2020/9/1","15:00","27.5","32.8"
"2020/9/1","16:00","26.5","31.2"
"2020/9/1","17:00","26.2","30.2"
"2020/9/1","18:00","25.9","28.8"
"2020/9/1","19:00","25.6","27.3"
"2020/9/1","20:00","25.6","26.3"
"2020/9/1","21:00",,
"2020/9/1","22:00",,
"2020/9/1","23:00",,
"2020/9/1","24:00",,
